Log(g),log(teff),mWD,tcool(gyr),R(Rsun),core,log(L),TpreWD(gyr),Mzams,Mbol,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,PS1_g_mag,PS1_r_mag,PS1_i_mag,PS1_z_mag,PS1_y_mag,U,B,V,R,I,J,H,K,FUV,NUV,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y
7.7,4.74,0.534,0.00167,0.017109,CO,0.38,12.80522,1.459,3.7891,8.4742,8.2917,8.8186,7.7397,8.2206,8.7579,9.1315,9.5003,8.2923,8.7639,9.1587,9.4483,9.6622,6.9577,8.227,8.5413,8.6759,8.8625,9.2948,9.4236,9.5328,6.3405,6.9214,54954.08738576248,54422158.987875566,105414960.95096488,19758022.280278046,157610888.53876,149636761.20231876,42058154.826596305,16651417.366452081,7157021.360996283,130089186.73548289,41441235.938689314,15937571.30313931,8067376.086321898,5222011.638279623
7.7,4.72,0.53,0.00195,0.017052,CO,0.297,12.80512,1.373,3.9964,8.5286,8.3455,8.873,7.7931,8.275,8.8116,9.1856,9.5546,8.346,8.8177,9.2121,9.5027,9.7178,7.0115,8.2831,8.5927,8.7295,8.9165,9.3503,9.4787,9.5898,6.3832,6.9683,52480.74602497723,52109195.875645876,100990577.78360102,18918298.580322072,151051423.38260722,143277140.1337832,40296638.57262257,15948131.617236948,6853476.344170434,124640678.16810638,39701901.17000124,15274279.923933974,7724509.437016354,4994550.861234629
7.7,4.7,0.527,0.00228,0.01699,CO,0.214,12.80502,1.287,4.2039,8.5815,8.3977,8.9259,7.8449,8.3279,8.8637,9.2381,9.6073,8.3981,8.8699,9.2639,9.5555,9.7718,7.0637,8.3376,8.6426,8.7815,8.9689,9.4042,9.5323,9.6452,6.4249,7.0139,50118.72336272725,49994043.25273784,96953780.27307229,18150390.18736544,145067027.51764414,137461410.0373153,38689463.750760816,15306422.657789912,6576499.7553043235,119669559.81116153,38114935.93696993,14669139.399137072,7411648.222373205,4786965.8611819055
7.7,4.68,0.523,0.00265,0.016927,CO,0.132,12.80491,1.202,4.4112,8.7287,8.5508,9.0616,8.0209,8.4816,9.0061,9.3732,9.7401,8.5463,9.0106,9.3999,9.6882,9.9042,7.24,8.4972,8.7831,8.9225,9.103,9.5324,9.662,9.7741,6.6169,7.2039,47863.0092322638,43980993.03287883,84830400.30980906,16137369.195434457,124278350.84472483,120206392.49939162,34186880.94998095,13616342.617822856,5862752.730556637,105179345.22527212,33731990.044469,13038613.29362266,6607871.176588967,4269009.287089322
7.7,4.66,0.52,0.00307,0.016862,CO,0.049,12.80481,1.116,4.6186,8.8738,8.6996,9.2008,8.1869,8.6299,9.1481,9.5119,9.8781,8.6905,9.1522,9.5381,9.8263,10.0437,7.4061,8.6525,8.9201,9.064,9.2405,9.6708,9.8034,9.9182,6.77,7.3701,45708.818961487515,38776343.096860595,74537244.70967303,14305220.405202469,107482386.32454926,105669434.25721249,30227435.14959493,12075977.333454685,5202875.04887752,92809467.59749,29836218.705516975,11568930.8031908,5863587.172817973,3783283.776568656
7.7,4.64,0.516,0.00356,0.016796,CO,-0.034,12.80471,1.03,4.826,8.9808,8.811,9.2991,8.3159,8.7411,9.2498,9.6098,9.9737,8.7982,9.2535,9.6358,9.9211,10.1372,7.5347,8.7679,9.0247,9.1643,9.3368,9.7598,9.8895,10.003,6.94,7.5168,43651.58322401656,35413861.73949936,67798451.20252207,13169854.942371745,96193059.5056441,96133735.9648813,27741359.22507393,11121637.286372097,4801863.761579725,84706886.55983914,27392408.520531137,10656624.459120825,5415640.459168758,3498447.460426979
7.8,4.9,0.613,0.00039,0.016369,CO,0.98,0.64559,2.866,2.2901,8.211,8.0189,8.58,7.4508,7.9457,8.508,8.893,9.2691,8.021,8.5158,8.9201,9.2179,9.435,6.6688,7.9428,8.285,8.428,8.628,9.0761,9.2132,9.3322,5.9414,6.5859,79432.82347242821,75763620.833665,148056407.55032268,26889852.87540795,224673149.11535567,210573276.5139606,57838253.52960144,22659804.66144367,9674249.16425487,182459362.80992118,56895465.42929737,21690376.772199243,10896756.81163131,7032711.317183817
7.8,4.88,0.607,0.00048,0.016271,CO,0.895,0.68761,2.784,2.5015,8.2665,8.075,8.6331,7.5063,8.0019,8.5624,8.9461,9.3212,8.0775,8.5699,8.9735,9.2704,9.4868,6.7243,7.9996,8.34,8.4824,8.6811,9.1268,9.2632,9.3811,6.0081,6.6457,75857.75750291836,72857879.84680928,142299382.230933,25915776.940997396,216056322.5850655,202366705.754447,55676378.40663031,21838960.809994407,9332394.216787338,175300018.1741488,54783965.066966996,20898874.75172049,10507830.675219137,6786074.10426506
7.8,4.86,0.6,0.00058,0.016172,CO,0.811,0.72985,2.702,2.7129,8.3203,8.1295,8.6847,7.5601,8.0564,8.6152,8.9977,9.3718,8.1324,8.6224,9.0253,9.3214,9.537,6.7781,8.0548,8.3935,8.5352,8.7327,9.1761,9.3118,9.4287,6.0726,6.7037,72443.59600749906,70187141.28760755,136994786.3825039,25016425.671710167,208136383.75483072,194822937.32498744,53684881.98082905,21081086.671430122,9016834.546529239,168703070.05836642,52838987.437791675,20169908.50011428,10148785.900929984,6559030.081279743
7.8,4.84,0.594,0.0007,0.016072,CO,0.726,0.77203,2.62,2.9243,8.3871,8.1987,8.747,7.6345,8.1242,8.6799,9.06,9.4332,8.1993,8.6868,9.087,9.3804,9.598,6.8525,8.1241,8.4598,8.5981,8.7932,9.2359,9.37,9.4831,6.1678,6.7873,69183.09709189362,66822877.30647695,130140256.19290657,23916238.515090562,196777583.29776606,185313775.6899513,51210571.26970091,20153970.17973554,8627435.448834524,160601872.2291017,50417592.57557068,19293523.390248183,9731991.222491218,6278085.7103780685
