logg,log(teff),mWD,tcool(gyr),R(Rsun),core,log(L),TpreWD(gyr),Mzams,Mbol,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,PS1_g_mag,PS1_r_mag,PS1_i_mag,PS1_z_mag,PS1_y_mag,U,B,V,R,I,J,H,K,FUV,NUV,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y
7.5,4.58,0.482,0.00416,0.020626,CO,-0.105,0.0,0.0,5.0029,8.5614,8.3933,8.8874,7.9582,8.3103,8.8304,9.1954,9.5604,8.3684,8.8354,9.2224,9.5094,9.7204,7.1712,8.3383,8.6034,8.7454,8.9264,9.3335,9.4625,9.5685,6.6051,7.1851,38018.93963205613,34555325.84032802,66051316.47482784,12759765.607353821,88675866.96730255,94793274.44548263,27068827.295014203,10802155.68675329,4659201.994433572,83448863.13499,26696352.311315138,10340972.103701454,5247005.61813861,3405470.0188222686
7.5,4.56,0.478,0.00479,0.020499,CO,-0.189,0.0,0.0,5.213,8.6437,8.4783,8.9648,8.0561,8.3933,8.9094,9.273,9.6361,8.4514,8.9145,9.299,9.5861,9.7951,7.2691,8.4237,8.6825,8.8235,9.003,9.4124,9.5349,9.6407,6.7207,7.2936,36307.8054770101,32430949.836300895,61836678.518819965,12029494.35131357,82037065.88597548,88908278.5154781,25482035.543350723,10182047.254013043,4399428.006196677,78268155.7189237,25129080.697983585,9756320.136784002,4949897.491798942,3218560.9450420216
7.5,4.54,0.473,0.00552,0.020384,CO,-0.273,0.0,0.0,5.4223,8.7326,8.5702,9.0486,8.1658,8.4842,8.9946,9.3559,9.7183,8.5402,8.9999,9.3826,9.6683,9.8763,7.3772,8.5175,8.7689,8.9089,9.0859,9.4903,9.6123,9.7156,6.8474,7.4141,34673.685045253165,30219425.10347616,57460934.337951265,11261957.968017874,74992295.71094206,82692996.76321049,23825424.471034057,9540291.350475134,4124798.566284205,72937627.06295966,23491087.934895214,9135505.261487588,4640905.601516349,3020426.4635631633
7.5,4.52,0.47,0.00636,0.020278,CO,-0.356,0.0,0.0,5.6308,8.8302,8.6709,9.1398,8.2874,8.5834,9.0881,9.4473,9.8074,8.6381,9.0931,9.4733,9.7579,9.964,7.4984,8.6205,8.8631,9.0017,9.1759,9.5762,9.6944,9.798,6.9865,7.5472,33113.112148259075,27910960.48596331,52920174.478192255,10463150.833159743,67749365.55412817,76263602.21208678,22088652.89111231,8861968.901679445,3839647.260681413,67347303.81430961,21784706.564369638,8491436.2986218,4318086.308304918,2815249.244327979
7.5,4.5,0.466,0.00733,0.02017,CO,-0.44,0.0,0.0,5.8396,8.9364,8.7807,9.239,8.4225,8.6915,9.1897,9.5458,9.9042,8.7448,9.1947,9.5718,9.8552,10.0588,7.6325,8.7322,8.9657,9.1025,9.2744,9.6585,9.7836,9.8864,7.1393,7.6959,31622.776601683792,25581925.091986496,48343680.20763904,9652080.314938245,60464946.589302614,69777556.29091547,20331418.110345997,8180289.294453431,3549848.0988325016,61699075.250448585,20051651.848339498,7838258.7683178345,3990338.6948643094,2607565.8915321063
7.5,4.48,0.462,0.00843,0.020059,CO,-0.523,0.0,0.0,6.0485,9.0483,8.8976,9.3416,8.565,8.8077,9.2952,9.6477,10.004,8.8581,9.3002,9.6737,9.955,10.1572,7.775,8.8548,9.0712,9.2073,9.3749,9.7519,9.8734,9.9755,7.296,7.8512,30199.51720402019,23332778.732799977,43890744.543201335,8879206.712412514,53616308.98217188,63391203.26650767,18653524.903454687,7530120.090182764,3274032.6743439767,56202016.03665093,18396846.942912895,7215274.142368213,3680298.115567688,2408066.806351316
7.5,4.46,0.458,0.00968,0.019953,CO,-0.607,0.0,0.0,6.2572,9.1672,9.0212,9.4518,8.7252,8.9284,9.4093,9.7575,10.1093,8.9767,9.4133,9.7835,10.0622,10.2602,7.9324,8.9783,9.1873,9.3201,9.4835,9.8559,9.9669,10.0644,7.4861,8.0316,28840.31503126606,21135309.613263384,39585405.65037858,8107674.754761739,46754031.47780854,57325935.02352068,16971610.7661925,6878346.566156617,3003067.963078293,50923007.629635915,16753499.87607515,6590752.275749225,3369807.953072555,2213454.927591524
7.5,4.44,0.454,0.01109,0.01985,CO,-0.69,0.0,0.0,6.4657,9.2786,9.1389,9.5516,8.8745,9.0454,9.5139,9.8566,10.2052,9.091,9.5184,9.8821,10.1582,10.3542,8.0805,9.1016,9.2939,9.423,9.5811,9.9417,10.0486,10.1427,7.671,8.2053,27542.28703338169,19272763.722942255,35888101.343094625,7472599.409249389,41171287.44617444,52005171.15126759,15573220.967918009,6343653.2631312385,2777797.251312595,46311561.991197,15366003.567822374,6081215.183659004,3116739.7065826026,2051001.9147399473
7.5,4.42,0.45,0.01269,0.01975,CO,-0.774,0.0,0.0,6.674,9.3851,9.2513,9.6455,9.0183,9.157,9.6133,9.9501,10.2947,9.1999,9.6173,9.9761,10.2477,10.442,8.224,9.2189,9.395,9.5209,9.6731,10.0219,10.125,10.2157,7.8603,8.3779,26302.679918953814,17649435.498273488,32687168.733844317,6923066.822616492,36430176.05785588,47401638.32274212,14355068.463213619,5879308.635837401,2583969.3986509563,42317134.45413205,14170584.102634007,5633485.6638561655,2899261.2839415306,1910877.6817640387
7.5,4.4,0.448,0.01928,0.019703,CO,-0.856,0.0,0.0,6.8798,9.4804,9.3526,9.7288,9.152,9.2584,9.7013,10.0329,10.3733,9.298,9.7053,10.058,10.3273,10.5183,8.356,9.3257,9.4862,9.6084,9.7541,10.0898,10.194,10.2828,8.0501,8.5434,25118.864315095823,16243525.878099978,29917602.67312535,6442404.786583278,32363147.70294306,43381327.4904192,13300707.821174087,5473633.872951885,2414998.422187361,38845949.08375782,13129773.590944927,5249122.144425412,2707178.1826111986,1789708.7991663036
7.5,4.38,0.445,0.02885,0.019654,CO,-0.938,0.0,0.0,7.0856,9.5753,9.4534,9.8142,9.2917,9.3564,9.7922,10.1191,10.4541,9.3954,9.7972,10.1441,10.4091,10.5951,8.4927,9.4255,9.5812,9.6982,9.8381,10.1669,10.262,10.349,8.2632,8.722,23988.329190194898,14958330.200544935,27401201.185842413,5984816.237231876,28597862.02966314,39835075.87933003,12293557.152645793,5081109.516923041,2252992.0673300065,35690164.34964548,12124394.209230164,4873146.750264412,2523246.3436651416,1675811.5702355113
7.5,4.36,0.443,0.04216,0.019598,CO,-1.021,0.0,0.0,7.2917,9.6663,9.5499,9.8932,9.4224,9.4522,9.8766,10.198,10.5288,9.4887,9.8806,10.223,10.4848,10.6677,8.6214,9.5269,9.6677,9.7804,9.9159,10.2266,10.3237,10.4057,8.4581,8.8868,22908.676527677748,13834437.722927565,25214362.84182988,5596663.771758478,25499517.53056719,36679553.93622938,11439208.11831057,4752005.695008126,2115232.2500798693,32938737.15224166,11292196.977217631,4557512.6914190035,2366780.864724274,1576389.6738143961
7.5,4.34,0.44,0.0603,0.019539,CO,-1.103,0.0,0.0,7.4981,9.7559,9.6449,9.9713,9.5524,9.5471,9.9599,10.2751,10.6018,9.5815,9.9639,10.3001,10.5588,10.7387,8.7504,9.6271,9.7539,9.8627,9.9918,10.2905,10.3852,10.465,8.6562,9.0529,21877.616239495517,12815641.601442283,23241643.69878469,5239719.732942246,22758875.717548642,33812936.30533917,10658468.407200208,4453031.767187871,1989650.9804165857,30423262.557955828,10521490.953285553,4270775.351883498,2224215.6400126484,1485533.405159539
7.5,4.32,0.438,0.0845,0.019475,CO,-1.186,0.0,0.0,7.7047,9.8448,9.7406,10.0493,9.6851,9.6419,10.043,10.3531,10.6758,9.6734,10.0469,10.3781,10.6329,10.8098,8.8811,9.726,9.84,9.9446,10.0679,10.354,10.4454,10.5221,8.8575,9.2204,20892.96130854041,11885845.662523549,21420843.69036575,4908601.669449186,20273117.4919288,31189802.124981273,9938126.84022125,4171627.545096691,1870796.8644631025,28138148.5826447,9811310.47937813,4000888.614385155,2091156.9197000489,1400529.1591917025
7.5,4.3,0.435,0.11335,0.01941,He,-1.269,0.0,0.0,7.9118,9.9337,9.835,10.1265,9.8174,9.7358,10.1257,10.4293,10.7483,9.765,10.1287,10.4541,10.7063,10.8797,9.0118,9.8257,9.9245,10.0255,10.1423,10.4255,10.5041,10.5788,9.0586,9.3888,19952.62314968879,11024881.96654175,19768805.751604546,4602371.29853675,18067763.585298553,28797612.358231775,9271038.77050426,3914978.5627829703,1761694.0812819712,26035107.81554295,9160324.97464149,3755435.632124963,1967571.3279531666,1322013.8871298332
7.5,4.28,0.431,0.13043,0.019346,He,-1.352,0.0,0.0,8.1208,10.0193,9.9277,10.1996,9.945,9.83,10.2034,10.5011,10.8169,9.8549,10.2064,10.5261,10.7751,10.9466,9.1386,9.9279,10.0036,10.1016,10.2131,10.482,10.5597,10.6323,9.2497,9.5476,19054.607179632483,10256581.904735506,18271286.937708806,4331221.124165958,16170859.47602317,26579400.7534547,8687945.765217999,3688740.399896864,1664789.0058212203,24125042.350396086,8584195.206329424,3537765.3704287536,1858999.1412987264,1251251.8169619993
7.5,4.26,0.428,0.14965,0.01928,He,-1.436,0.0,0.0,8.3296,10.1087,10.0225,10.2784,10.0871,9.9231,10.2886,10.581,10.8912,9.9473,10.2916,10.605,10.851,11.0176,9.2766,10.0244,10.0924,10.1854,10.291,10.5505,10.6213,10.6895,9.4728,9.7318,18197.008586099826,9510666.657467663,16858442.37158703,4055633.150622348,14284380.522550447,24562552.334822815,8087334.547928164,3450534.7061362853,1565335.7603943946,22308809.354986917,7990756.426708145,3312358.49580522,1745369.9598458295,1180084.2901755937
7.5,4.24,0.425,0.17104,0.019213,He,-1.519,0.0,0.0,8.5382,10.1961,10.1166,10.3532,10.2215,10.018,10.3687,10.6547,10.9612,10.038,10.3717,10.6787,10.9217,11.0857,9.4105,10.1269,10.1737,10.2642,10.3627,10.6073,10.6782,10.7427,9.6784,9.903,17378.00828749376,8836385.489840358,15566864.290453391,3812083.0879843975,12709401.642761027,22664032.625178203,7564654.5908274725,3246609.787700334,1477852.8740487418,20664270.859236293,7474318.260145084,3116599.7240164913,1646763.341122183,1116083.5895795426
